email_text,tags
please help with the integration options as soon as possible,"Demo,Sales"
please help with the integration options as soon as possible live demo,"Demo,Sales"
please help with the integration options as soon as possible,"Demo,Sales"
kindly send the crm subscription price for our organization,"Demo,Sales"
kindly send the crm subscription price for our organization schedule a demo purchase,"Demo,Sales"
kindly send the crm subscription price for our organization demo session,"Demo,Sales"
can you help me with the platform walkthrough before we make a decision,Unsubscribe
can you help me with the platform walkthrough before we make a decision,Unsubscribe
can you help me with the platform walkthrough before we make a decision,Unsubscribe
can you help me with the unsubscribe request for our organization,"Pricing,Sales"
can you help me with the unsubscribe request for our organization interested in buying,"Pricing,Sales"
can you help me with the unsubscribe request for our organization cost information buy,"Pricing,Sales"
can you explain the account setup help for our sales department,"Demo,Sales"
can you explain the account setup help for our sales department schedule a demo interested in buying,"Demo,Sales"
can you explain the account setup help for our sales department product demo purchase,"Demo,Sales"
can you explain the live demo session for evaluation purposes,"Complaint,Support"
can you explain the live demo session for evaluation purposes system crashed need help,"Complaint,Support"
can you explain the live demo session for evaluation purposes facing issue support needed,"Complaint,Support"
can you explain the pricing details for our startup team,"Question,General"
can you explain the pricing details for our startup team want to ask,"Question,General"
can you explain the pricing details for our startup team want to ask tell me about your service,"Question,General"
i need assistance with the product demo for our internal tools,"Complaint,Support"
i need assistance with the product demo for our internal tools,"Complaint,Support"
i need assistance with the product demo for our internal tools very disappointed customer support,"Complaint,Support"
could you share the remove from mailing list for our sales department,"Question,General"
could you share the remove from mailing list for our sales department i have a question more information,"Question,General"
could you share the remove from mailing list for our sales department i have a question,"Question,General"
could you share the dashboard issue for our organization,Unsubscribe
could you share the dashboard issue for our organization stop emails,Unsubscribe
could you share the dashboard issue for our organization unsubscribe,Unsubscribe
please provide the pricing details for evaluation purposes,"Pricing,Sales"
please provide the pricing details for evaluation purposes interested in buying,"Pricing,Sales"
please provide the pricing details for evaluation purposes buy,"Pricing,Sales"
please help with the technical configuration help before we make a decision,"Support,Technical"
