email_text,intent,tags
"hello, can we arrange a product demo this week",Demo Request,"Demo,Sales"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
"hello, how can i import my contacts into the crm",Support Request,"Support,Technical"
"hello, what integrations are available with your crm",General Question,"Question,General"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
your platform keeps crashing when exporting data for our company,Complaint,"Complaint,Support"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
please stop sending promotional emails for our company,Not Interested,Unsubscribe
can you assist with setting up user roles as soon as possible,Support Request,"Support,Technical"
how much does the enterprise crm plan cost as soon as possible,Pricing Inquiry,"Pricing,Sales"
what integrations are available with your crm as soon as possible,General Question,"Question,General"
i need help resetting my account password for our company,Support Request,"Support,Technical"
"hello, i need technical support for configuring integrations",Support Request,"Support,Technical"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
i am not interested in this service as soon as possible,Not Interested,Unsubscribe
we are not looking for a crm solution right now,Not Interested,Unsubscribe
"hi team, can you share pricing details for the enterprise plan",Pricing Inquiry,"Pricing,Sales"
the login page is not working for our team,Complaint,"Complaint,Support"
"hello, i need technical support for configuring integrations",Support Request,"Support,Technical"
please book a demo session for our team as soon as possible,Demo Request,"Demo,Sales"
please help us resolve login issues,Support Request,"Support,Technical"
i am not interested in this service as soon as possible,Not Interested,Unsubscribe
"hi team, how can i import my contacts into the crm",Support Request,"Support,Technical"
please remove me from your mailing list,Not Interested,Unsubscribe
please help us resolve login issues,Support Request,"Support,Technical"
please book a demo session for our team for our company,Demo Request,"Demo,Sales"
"hi team, please remove me from your mailing list",Not Interested,Unsubscribe
"hi team, what integrations are available with your crm",General Question,"Question,General"
"hello, i am facing issues while accessing the reporting page",Complaint,"Complaint,Support"
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
what integrations are available with your crm,General Question,"Question,General"
"hello, does the platform support third party integrations",General Question,"Question,General"
the login page is not working for our team for our company,Complaint,"Complaint,Support"
can your system integrate with slack for our company,General Question,"Question,General"
"hello, please book a demo session for our team",Demo Request,"Demo,Sales"
how can i import my contacts into the crm for our company,Support Request,"Support,Technical"
